HPO_ID	term_id	name	N_OMIM_diseases_with_term	frac_OMIM_diseases_with_term	N_Orpha_diseases_with_term	frac_Orpha_diseases_with_term
HP:0006006	6006	Hypotrophy of the small hand muscles	1	0.0001	1	0.0002
HP:0006008	6008	Unilateral brachydactyly	1	0.0001	2	0.0005
HP:0006009	6009	Broad phalanx	9	0.0011	4	0.0009
HP:0006011	6011	Cuboidal metacarpal	1	0.0001	1	0.0002
HP:0006012	6012	Widened metacarpal shaft	1	0.0001	0	0
HP:0006014	6014	Abnormally shaped carpal bones	1	0.0001	2	0.0005
HP:0006016	6016	Delayed phalangeal epiphyseal ossification	1	0.0001	1	0.0002
HP:0006019	6019	Reduced proximal interphalangeal joint space	0	0	1	0.0002
HP:0006026	6026	Rounded epiphyses	0	0	0	0
HP:0006028	6028	Metaphyseal cupping of metacarpals	4	0.0005	2	0.0005
HP:0006035	6035	Cone-shaped epiphyses of phalanges 2 to 5	1	0.0001	0	0
HP:0006040	6040	Long second metacarpal	1	0.0001	0	0
HP:0006042	6042	Y-shaped metacarpals	5	0.0006	1	0.0002
HP:0006045	6045	Short pointed phalanges	0	0	0	0
HP:0006048	6048	Distal widening of metacarpals	1	0.0001	0	0
HP:0006051	6051	Metacarpal periosteal thickening	2	0.0002	0	0
HP:0006055	6055	Ulnar deviated club hands	2	0.0002	4	0.0009
HP:0006059	6059	Cone-shaped metacarpal epiphyses	3	0.0004	2	0.0005
HP:0006060	6060	Tombstone-shaped proximal phalanges	1	0.0001	0	0
HP:0006064	6064	Limited interphalangeal movement	2	0.0002	1	0.0002
HP:0006067	6067	Multiple carpal ossification centers	2	0.0002	0	0
HP:0006070	6070	Metacarpophalangeal joint contracture	1	0.0001	4	0.0009
HP:0006077	6077	Absent proximal finger flexion creases	4	0.0005	1	0.0002
HP:0006086	6086	Thin metacarpal cortices	2	0.0002	1	0.0002
HP:0006088	6088	1-5 finger complete cutaneous syndactyly	1	0.0001	1	0.0002
HP:0006089	6089	Palmar hyperhidrosis	2	0.0002	1	0.0002
HP:0006092	6092	Malaligned carpal bone	1	0.0001	0	0
HP:0006094	6094	Finger joint hypermobility	18	0.0022	6	0.0014
HP:0006095	6095	Wide tufts of distal phalanges	1	0.0001	0	0
HP:0006097	6097	3-4 finger syndactyly	2	0.0002	5	0.0012
HP:0006099	6099	Metacarpophalangeal joint hyperextensibility	3	0.0004	0	0
HP:0006101	6101	Finger syndactyly	20	0.0024	147	0.0343
HP:0006106	6106	Absent trapezoid bone	1	0.0001	0	0
HP:0006107	6107	Fingerpad telangiectases	2	0.0002	0	0
HP:0006108	6108	Tapered metacarpals	1	0.0001	0	0
HP:0006109	6109	Absent phalangeal crease	5	0.0006	1	0.0002
HP:0006110	6110	Shortening of all middle phalanges of the fingers	7	0.0008	1	0.0002
HP:0006112	6112	Expanded phalanges with widened medullary cavities	1	0.0001	0	0
HP:0006114	6114	Multiple palmar creases	1	0.0001	1	0.0002
HP:0006118	6118	Shortening of all distal phalanges of the fingers	11	0.0013	3	0.0007
HP:0006119	6119	Proximal tapering of metacarpals	1	0.0001	0	0
HP:0006121	6121	Acral ulceration	8	0.0010	4	0.0009
HP:0006127	6127	Long proximal phalanx of finger	1	0.0001	0	0
HP:0006129	6129	Drumstick terminal phalanges	2	0.0002	1	0.0002
HP:0006134	6134	Enlarged metacarpal epiphyses	1	0.0001	0	0
HP:0006135	6135	Decreased finger mobility	1	0.0001	1	0.0002
HP:0006136	6136	Bilateral postaxial polydactyly	2	0.0002	1	0.0002
HP:0006140	6140	Premature fusion of phalangeal epiphyses	1	0.0001	0	0
HP:0006143	6143	Abnormal finger flexion crease	3	0.0004	3	0.0007
HP:0006144	6144	Shortening of all proximal phalanges of the fingers	2	0.0002	0	0
HP:0006145	6145	Central Y-shaped metacarpal	2	0.0002	1	0.0002
HP:0006146	6146	Broad metacarpal epiphyses	1	0.0001	0	0
HP:0006147	6147	Progressive fusion 2nd-5th pip joints	1	0.0001	0	0
HP:0006149	6149	Increased laxity of fingers	1	0.0001	2	0.0005
HP:0006150	6150	Swan neck-like deformities of the fingers	5	0.0006	0	0
HP:0006152	6152	Proximal symphalangism of hands	4	0.0005	1	0.0002
HP:0006155	6155	Long phalanx of finger	2	0.0002	0	0
HP:0006156	6156	Ulnar deviation of thumb	1	0.0001	0	0
HP:0006157	6157	Prominent palmar flexion creases	0	0	0	0
HP:0006159	6159	Mesoaxial hand polydactyly	9	0.0011	1	0.0002
HP:0006160	6160	Irregular metacarpals	1	0.0001	0	0
HP:0006161	6161	Short metacarpals with rounded proximal ends	1	0.0001	0	0
HP:0006162	6162	Soft tissue swelling of interphalangeal joints	1	0.0001	0	0
HP:0006163	6163	Enlarged metacarpophalangeal joints	1	0.0001	0	0
HP:0006165	6165	Proportionate shortening of all digits	1	0.0001	1	0.0002
HP:0006166	6166	Tubular metacarpal bones	0	0	0	0
HP:0006167	6167	Prominent proximal interphalangeal joints	1	0.0001	0	0
HP:0006169	6169	Decreased mobility 3rd-5th fingers	1	0.0001	0	0
HP:0006170	6170	Chess-pawn distal phalanges	0	0	1	0.0002
HP:0006172	6172	Flattened, squared-off epiphyses of tubular bones	1	0.0001	0	0
HP:0006174	6174	Metacarpal diaphyseal endosteal sclerosis	1	0.0001	0	0
HP:0006175	6175	Proximal phalangeal periosteal thickening	1	0.0001	0	0
HP:0006176	6176	Two carpal ossification centers present at birth	1	0.0001	0	0
HP:0006179	6179	Pseudoepiphyses of second metacarpal	1	0.0001	0	0
HP:0006180	6180	Crowded carpal bones	1	0.0001	0	0
HP:0006184	6184	Decreased palmar creases	3	0.0004	4	0.0009
HP:0006185	6185	Enlarged proximal interphalangeal joints	2	0.0002	0	0
HP:0006189	6189	Prominent interdigital folds	1	0.0001	0	0
HP:0006190	6190	Radially deviated wrists	1	0.0001	1	0.0002
HP:0006191	6191	Deep palmar crease	27	0.0032	15	0.0035
HP:0006192	6192	Tapered phalanx of finger	1	0.0001	0	0
HP:0006193	6193	Thimble-shaped middle phalanges of hand	1	0.0001	0	0
HP:0006200	6200	Widened distal phalanges	1	0.0001	2	0.0005
HP:0006201	6201	Hypermobility of distal interphalangeal joints	2	0.0002	1	0.0002
HP:0006202	6202	Osteolysis of scaphoids	0	0	1	0.0002
HP:0006203	6203	Decreased movement range in interphalangeal joints	1	0.0001	2	0.0005
HP:0006205	6205	Irregular phalanges	0	0	0	0
HP:0006206	6206	Hypersegmentation of proximal phalanx of second finger	1	0.0001	0	0
HP:0006207	6207	Partial fusion of carpals	1	0.0001	0	0
HP:0006208	6208	Metaphyseal cupping of proximal phalanges	2	0.0002	1	0.0002
HP:0006209	6209	Partial-complete absence of 5th phalanges	1	0.0001	0	0
HP:0006210	6210	Postaxial oligodactyly	2	0.0002	1	0.0002
HP:0006213	6213	Thin proximal phalanges with broad epiphyses of the hand	1	0.0001	0	0
HP:0006216	6216	Single interphalangeal crease of fifth finger	5	0.0006	0	0
HP:0006217	6217	Limited mobility of proximal interphalangeal joint	1	0.0001	1	0.0002
HP:0006224	6224	Tapering pointed ends of distal finger phalanges	1	0.0001	0	0
HP:0006226	6226	Osteoarthritis of the first carpometacarpal joint	1	0.0001	0	0
HP:0006228	6228	Valgus hand deformity	1	0.0001	0	0
HP:0006230	6230	Unilateral oligodactyly	1	0.0001	0	0
HP:0006232	6232	Expanded metacarpals with widened medullary cavities	1	0.0001	0	0
HP:0006233	6233	Osteoarthritis of the distal interphalangeal joint	1	0.0001	1	0.0002
HP:0006234	6234	Osteolysis involving tarsal bones	3	0.0004	1	0.0002
HP:0006236	6236	Slender metacarpals	4	0.0005	1	0.0002
HP:0006237	6237	Prominent interphalangeal joints	6	0.0007	0	0
HP:0006239	6239	Shortening of all middle phalanges of the toes	0	0	2	0.0005
HP:0006243	6243	Phalangeal dislocation	3	0.0004	4	0.0009
HP:0006247	6247	Enlarged interphalangeal joints	3	0.0004	2	0.0005
HP:0006248	6248	Limited wrist movement	3	0.0004	7	0.0016
HP:0006251	6251	Limited wrist extension	1	0.0001	3	0.0007
HP:0006252	6252	Interphalangeal joint erosions	2	0.0002	1	0.0002
HP:0006253	6253	Swelling of proximal interphalangeal joints	1	0.0001	2	0.0005
HP:0006254	6254	Elevated circulating alpha-fetoprotein concentration	18	0.0022	12	0.0028
HP:0006256	6256	Abnormality of hand joint mobility	0	0	1	0.0002
HP:0006257	6257	Abnormality of carpal bone ossification	1	0.0001	0	0
HP:0006261	6261	Abnormal phalangeal joint morphology of the hand	0	0	2	0.0005
HP:0006262	6262	Aplasia/Hypoplasia of the 5th finger	1	0.0001	0	0
HP:0006263	6263	Abnormality of the epiphyses of the 2nd finger	0	0	0	0
HP:0006264	6264	Aplasia/Hypoplasia of the 2nd finger	0	0	0	0
HP:0006265	6265	Aplasia/Hypoplasia of fingers	1	0.0001	5	0.0012
HP:0006266	6266	Small placenta	2	0.0002	4	0.0009
HP:0006267	6267	Large placenta	3	0.0004	8	0.0019
HP:0006268	6268	Fluctuating splenomegaly	2	0.0002	0	0
HP:0006270	6270	Hypoplastic spleen	7	0.0008	2	0.0005
HP:0006273	6273	Pancreatic lymphangiectasis	1	0.0001	1	0.0002
HP:0006274	6274	Reduced pancreatic beta cells	1	0.0001	1	0.0002
HP:0006276	6276	Hyperechogenic pancreas	4	0.0005	1	0.0002
HP:0006277	6277	Pancreatic hyperplasia	1	0.0001	1	0.0002
HP:0006278	6278	Ectopic pancreatic tissue	1	0.0001	0	0
HP:0006279	6279	Beta-cell dysfunction	1	0.0001	0	0
HP:0006280	6280	Chronic pancreatitis	5	0.0006	2	0.0005
HP:0006282	6282	Generalized hypoplasia of dental enamel	1	0.0001	1	0.0002
HP:0006283	6283	Multiple unerupted teeth	2	0.0002	5	0.0012
HP:0006285	6285	Enamel hypomineralization	7	0.0008	4	0.0009
HP:0006286	6286	Yellow-brown discoloration of the teeth	11	0.0013	7	0.0016
HP:0006288	6288	Advanced eruption of teeth	6	0.0007	18	0.0042
HP:0006289	6289	Agenesis of central incisor	2	0.0002	3	0.0007
HP:0006290	6290	Discolored lateral incisors	0	0	0	0
HP:0006291	6291	Marked delay in eruption of permanent teeth	0	0	1	0.0002
HP:0006292	6292	Abnormality of dental eruption	0	0	3	0.0007
HP:0006293	6293	Agenesis of maxillary central incisor	0	0	1	0.0002
HP:0006297	6297	Enamel hypoplasia	82	0.0098	38	0.0089
HP:0006298	6298	Prolonged bleeding after dental extraction	11	0.0013	11	0.0026
HP:0006302	6302	Dagger-shaped pulp calcifications	1	0.0001	0	0
HP:0006304	6304	Widely-spaced incisors	4	0.0005	1	0.0002
HP:0006308	6308	Atrophy of alveolar ridges	1	0.0001	5	0.0012
HP:0006311	6311	Generalized microdontia	1	0.0001	0	0
HP:0006313	6313	Widely spaced primary teeth	2	0.0002	2	0.0005
HP:0006315	6315	Solitary median maxillary central incisor	15	0.0018	12	0.0028
HP:0006316	6316	Irregularly spaced teeth	2	0.0002	3	0.0007
HP:0006321	6321	Multiple non-erupting secondary teeth	1	0.0001	0	0
HP:0006323	6323	Premature loss of primary teeth	4	0.0005	14	0.0033
HP:0006326	6326	Buried teeth encased in mucopolysaccharide	0	0	0	0
HP:0006329	6329	Alveolar process hypoplasia	1	0.0001	1	0.0002
HP:0006330	6330	Rotated maxillary central incisors	1	0.0001	0	0
HP:0006332	6332	Supernumerary maxillary incisor	1	0.0001	1	0.0002
HP:0006333	6333	Crowded maxillary incisors	1	0.0001	2	0.0005
HP:0006334	6334	Hypoplasia of the primary teeth	4	0.0005	2	0.0005
HP:0006335	6335	Persistence of primary teeth	20	0.0024	10	0.0023
HP:0006336	6336	Short dental root	3	0.0004	5	0.0012
HP:0006337	6337	Premature eruption of permanent teeth	1	0.0001	2	0.0005
HP:0006338	6338	Malformation of mandibular premolar	0	0	0	0
HP:0006339	6339	Conical mandibular incisor	0	0	0	0
HP:0006342	6342	Peg-shaped maxillary lateral incisors	4	0.0005	3	0.0007
HP:0006344	6344	Abnormal primary molar morphology	0	0	2	0.0005
HP:0006346	6346	Screwdriver-shaped incisors	1	0.0001	0	0
HP:0006347	6347	Microdontia of primary teeth	3	0.0004	1	0.0002
HP:0006349	6349	Agenesis of permanent teeth	20	0.0024	8	0.0019
HP:0006350	6350	Pulp obliteration	1	0.0001	1	0.0002
HP:0006352	6352	Failure of eruption of permanent teeth	3	0.0004	4	0.0009
HP:0006353	6353	Hypoplasia of the tooth germ	1	0.0001	1	0.0002
HP:0006355	6355	Agenesis of mandibular central incisor	1	0.0001	0	0
HP:0006357	6357	Premature loss of permanent teeth	5	0.0006	2	0.0005
HP:0006358	6358	Shovel-shaped maxillary central incisors	2	0.0002	0	0
HP:0006361	6361	Irregular femoral epiphysis	7	0.0008	0	0
HP:0006362	6362	Varus deformity of humeral neck	1	0.0001	0	0
HP:0006366	6366	Adductor longus contractures	1	0.0001	0	0
HP:0006367	6367	Crumpled long bones	2	0.0002	2	0.0005
HP:0006368	6368	Forearm reduction defects	2	0.0002	1	0.0002
HP:0006369	6369	Irregular patellae	1	0.0001	0	0
HP:0006370	6370	Distal ulnar epiphyseal stippling	1	0.0001	0	0
HP:0006371	6371	Broad long bone diaphyses	3	0.0004	1	0.0002
HP:0006375	6375	Dumbbell-shaped femur	4	0.0005	3	0.0007
HP:0006376	6376	Limited elbow flexion	3	0.0004	5	0.0012
HP:0006378	6378	Osteolysis of patellae	0	0	1	0.0002
HP:0006379	6379	Proximal tibial hypoplasia	1	0.0001	0	0
HP:0006380	6380	Knee flexion contracture	82	0.0098	35	0.0082
HP:0006381	6381	Rudimentary fibula	3	0.0004	1	0.0002
HP:0006383	6383	Progressive bowing of long bones	1	0.0001	1	0.0002
HP:0006384	6384	Club-shaped distal femur	2	0.0002	1	0.0002
HP:0006385	6385	Short lower limbs	7	0.0008	9	0.0021
HP:0006386	6386	Hypoplastic distal radial epiphyses	1	0.0001	0	0
HP:0006387	6387	Wide distal femoral metaphysis	5	0.0006	2	0.0005
HP:0006389	6389	Limited knee flexion	3	0.0004	2	0.0005
HP:0006390	6390	Anterior tibial bowing	4	0.0005	0	0
HP:0006391	6391	Overtubulated long bones	3	0.0004	2	0.0005
HP:0006392	6392	Increased density of long bones	1	0.0001	0	0
HP:0006394	6394	Limited pronation/supination of forearm	7	0.0008	5	0.0012
HP:0006397	6397	Lateral displacement of patellae	1	0.0001	0	0
HP:0006398	6398	Flat distal femoral epiphysis	2	0.0002	0	0
HP:0006400	6400	Absent knee epiphyses	1	0.0001	0	0
HP:0006402	6402	Distal shortening of limbs	2	0.0002	2	0.0005
HP:0006406	6406	Club-shaped proximal femur	2	0.0002	0	0
HP:0006407	6407	Irregular distal femoral epiphysis	2	0.0002	0	0
HP:0006408	6408	Distal tapering femur	1	0.0001	1	0.0002
HP:0006409	6409	Progressive leg bowing	1	0.0001	1	0.0002
HP:0006413	6413	Broad tibial metaphyses	1	0.0001	3	0.0007
HP:0006414	6414	Distal tibial bowing	1	0.0001	0	0
HP:0006415	6415	Cortically dense long tubular bones	1	0.0001	0	0
HP:0006417	6417	Wide femoral metaphysis	1	0.0001	1	0.0002
HP:0006420	6420	Asymmetric radial dysplasia	0	0	0	0
HP:0006423	6423	Peg-like central prominence of distal tibial metaphyses	1	0.0001	0	0
HP:0006424	6424	Elongated radius	1	0.0001	0	0
HP:0006426	6426	Rudimentary to absent tibiae	1	0.0001	2	0.0005
HP:0006429	6429	Broad femoral neck	19	0.0023	10	0.0023
HP:0006431	6431	Abnormal proximal femoral metaphysis morphology	1	0.0001	3	0.0007
HP:0006432	6432	Trapezoidal distal femoral condyles	1	0.0001	1	0.0002
HP:0006433	6433	Radial dysplasia	2	0.0002	0	0
HP:0006434	6434	Hypoplasia of proximal radius	2	0.0002	3	0.0007
HP:0006437	6437	Disproportionate prominence of the femoral medial condyle	1	0.0001	1	0.0002
HP:0006438	6438	Enlargement of the distal femoral epiphysis	1	0.0001	4	0.0009
HP:0006439	6439	Radioulnar dislocation	2	0.0002	4	0.0009
HP:0006440	6440	Increased density of long bone diaphyses	1	0.0001	0	0
HP:0006441	6441	Lateral humeral condyle aplasia	1	0.0001	1	0.0002
HP:0006442	6442	Hypoplasia of proximal fibula	2	0.0002	0	0
HP:0006443	6443	Patellar aplasia	17	0.0020	14	0.0033
HP:0006446	6446	Dysplastic patella	1	0.0001	0	0
HP:0006449	6449	Distal radial epiphyseal osteolysis	0	0	0	0
HP:0006450	6450	Multicentric ossification of proximal femoral epiphyses	1	0.0001	0	0
HP:0006453	6453	Lateral displacement of the femoral head	1	0.0001	0	0
HP:0006454	6454	Delayed patellar ossification	1	0.0001	2	0.0005
HP:0006456	6456	Irregular proximal tibial epiphyses	1	0.0001	5	0.0012
HP:0006459	6459	Dorsal subluxation of ulna	1	0.0001	1	0.0002
HP:0006460	6460	Increased laxity of ankles	1	0.0001	5	0.0012
HP:0006461	6461	Proximal femoral epiphysiolysis	6	0.0007	3	0.0007
HP:0006462	6462	Generalized bone demineralization	3	0.0004	5	0.0012
HP:0006463	6463	Rickets of the lower limbs	1	0.0001	2	0.0005
HP:0006465	6465	Periosteal thickening of long tubular bones	3	0.0004	1	0.0002
HP:0006466	6466	Ankle flexion contracture	29	0.0035	22	0.0051
HP:0006467	6467	Limited shoulder movement	8	0.0010	8	0.0019
HP:0006470	6470	Thin long bone diaphyses	1	0.0001	3	0.0007
HP:0006471	6471	Fixed elbow flexion	1	0.0001	3	0.0007
HP:0006473	6473	Anterior bowing of long bones	1	0.0001	0	0
HP:0006476	6476	Abnormality of the pancreatic islet cells	1	0.0001	1	0.0002
HP:0006477	6477	Abnormal alveolar ridge morphology	1	0.0001	1	0.0002
HP:0006479	6479	Abnormal dental pulp morphology	0	0	5	0.0012
HP:0006480	6480	Premature loss of teeth	24	0.0029	13	0.0030
HP:0006481	6481	Abnormality of primary teeth	2	0.0002	6	0.0014
HP:0006482	6482	Abnormal dental morphology	11	0.0013	49	0.0114
HP:0006483	6483	Abnormal number of teeth	0	0	2	0.0005
HP:0006485	6485	Agenesis of incisor	3	0.0004	1	0.0002
HP:0006486	6486	Abnormal dental root morphology	0	0	1	0.0002
HP:0006487	6487	Bowing of the long bones	44	0.0053	62	0.0145
HP:0006488	6488	Bowing of the arm	7	0.0008	0	0
HP:0006489	6489	Abnormal femoral metaphysis morphology	1	0.0001	2	0.0005
HP:0006490	6490	Abnormal lower-limb metaphysis morphology	0	0	1	0.0002
HP:0006491	6491	Abnormal tibial metaphysis morphology	0	0	2	0.0005
HP:0006492	6492	Aplasia/Hypoplasia of the fibula	3	0.0004	8	0.0019
HP:0006493	6493	Aplasia/hypoplasia involving bones of the lower limbs	0	0	1	0.0002
HP:0006494	6494	Aplasia/Hypoplasia involving bones of the feet	0	0	0	0
HP:0006495	6495	Aplasia/Hypoplasia of the ulna	4	0.0005	11	0.0026
HP:0006496	6496	Aplasia/hypoplasia involving bones of the upper limbs	0	0	4	0.0009
HP:0006498	6498	Aplasia/Hypoplasia of the patella	7	0.0008	6	0.0014
HP:0006499	6499	Abnormal femoral epiphysis morphology	2	0.0002	2	0.0005
HP:0006500	6500	Abnormal lower limb epiphysis morphology	0	0	0	0
HP:0006501	6501	Aplasia/Hypoplasia of the radius	2	0.0002	36	0.0084
HP:0006502	6502	Aplasia/Hypoplasia involving the carpal bones	1	0.0001	0	0
HP:0006503	6503	Aplasia/hypoplasia involving forearm bones	0	0	0	0
HP:0006505	6505	Abnormal limb epiphysis morphology	0	0	1	0.0002
HP:0006507	6507	Aplasia/hypoplasia of the humerus	2	0.0002	4	0.0009
HP:0006508	6508	Abnormality of tibial epiphyses	0	0	0	0
HP:0006509	6509	Diverticulosis of trachea	1	0.0001	0	0
HP:0006510	6510	Chronic pulmonary obstruction	14	0.0017	14	0.0033
HP:0006511	6511	Laryngeal stridor	3	0.0004	7	0.0016
HP:0006514	6514	Intraalveolar nodular calcifications	1	0.0001	0	0
HP:0006515	6515	Interstitial pneumonitis	6	0.0007	13	0.0030
HP:0006516	6516	Hypersensitivity pneumonitis	1	0.0001	5	0.0012
HP:0006517	6517	Intraalveolar phospholipid accumulation	10	0.0012	3	0.0007
HP:0006518	6518	Pulmonary venous occlusion	2	0.0002	1	0.0002
HP:0006519	6519	Alveolar cell carcinoma	2	0.0002	0	0
HP:0006520	6520	Progressive pulmonary function impairment	1	0.0001	2	0.0005
HP:0006521	6521	Pulmonary lymphangiectasia	7	0.0008	2	0.0005
HP:0006522	6522	Repeated pneumothoraces	3	0.0004	1	0.0002
HP:0006524	6524	Tracheobronchial leiomyomatosis	1	0.0001	1	0.0002
HP:0006527	6527	Lymphocytic interstitial pneumonia	3	0.0004	3	0.0007
HP:0006528	6528	Chronic lung disease	14	0.0017	15	0.0035
HP:0006529	6529	Abnormal pulmonary lymphatics	0	0	0	0
HP:0006530	6530	Abnormal pulmonary interstitial morphology	15	0.0018	33	0.0077
HP:0006531	6531	Pleural lymphangiectasia	1	0.0001	0	0
HP:0006532	6532	Recurrent pneumonia	121	0.0145	42	0.0098
HP:0006533	6533	Bronchodysplasia	1	0.0001	1	0.0002
HP:0006535	6535	Recurrent intrapulmonary hemorrhage	2	0.0002	3	0.0007
HP:0006536	6536	Airway obstruction	6	0.0007	18	0.0042
HP:0006538	6538	Recurrent bronchopulmonary infections	6	0.0007	4	0.0009
HP:0006539	6539	Bronchial cartilage hypoplasia	1	0.0001	0	0
HP:0006543	6543	Cardiorespiratory arrest	8	0.0010	12	0.0028
HP:0006544	6544	Extrapulmonary lobar sequestration	1	0.0001	0	0
HP:0006548	6548	Pulmonary arteriovenous malformation	5	0.0006	3	0.0007
HP:0006549	6549	Unilateral primary pulmonary dysgenesis	1	0.0001	0	0
HP:0006552	6552	Fibrocystic lung disease	1	0.0001	0	0
HP:0006554	6554	Acute hepatic failure	12	0.0014	16	0.0037
HP:0006555	6555	Diffuse hepatic steatosis	1	0.0001	3	0.0007
HP:0006557	6557	Polycystic liver disease	4	0.0005	2	0.0005
HP:0006558	6558	Decreased mitochondrial complex III activity in liver tissue	2	0.0002	1	0.0002
HP:0006559	6559	Hepatic calcification	3	0.0004	4	0.0009
HP:0006560	6560	Biliary hyperplasia	1	0.0001	3	0.0007
HP:0006561	6561	Lipid accumulation in hepatocytes	1	0.0001	1	0.0002
HP:0006562	6562	Viral hepatitis	1	0.0001	9	0.0021
HP:0006563	6563	Malformation of the hepatic ductal plate	8	0.0010	1	0.0002
HP:0006564	6564	Fluctuating hepatomegaly	1	0.0001	0	0
HP:0006565	6565	Increased hepatocellular lipid droplets	2	0.0002	1	0.0002
HP:0006566	6566	Neonatal cholestatic liver disease	1	0.0001	2	0.0005
HP:0006568	6568	Increased hepatic glycogen content	8	0.0010	5	0.0012
HP:0006571	6571	Reduced number of intrahepatic bile ducts	2	0.0002	3	0.0007
HP:0006572	6572	Subacute progressive viral hepatitis	1	0.0001	0	0
HP:0006573	6573	Acute hepatic steatosis	1	0.0001	1	0.0002
HP:0006574	6574	Hepatic arteriovenous malformation	3	0.0004	2	0.0005
HP:0006575	6575	Intrahepatic cholestasis with episodic jaundice	2	0.0002	2	0.0005
HP:0006576	6576	Hepatic vascular malformations	1	0.0001	0	0
HP:0006577	6577	Macronodular cirrhosis	4	0.0005	1	0.0002
HP:0006579	6579	Prolonged neonatal jaundice	40	0.0048	29	0.0068
HP:0006580	6580	Portal fibrosis	14	0.0017	3	0.0007
HP:0006581	6581	Depletion of mitochondrial DNA in liver	3	0.0004	0	0
HP:0006582	6582	Reye syndrome-like episodes	1	0.0001	4	0.0009
HP:0006583	6583	Fatal liver failure in infancy	1	0.0001	3	0.0007
HP:0006584	6584	Small abnormally formed scapulae	2	0.0002	1	0.0002
HP:0006585	6585	Congenital pseudoarthrosis of the clavicle	4	0.0005	4	0.0009
HP:0006587	6587	Straight clavicles	4	0.0005	1	0.0002
HP:0006589	6589	Flaring of lower rib cage	2	0.0002	2	0.0005
HP:0006590	6590	Premature sternal synostosis	0	0	0	0
HP:0006591	6591	Absent glenoid fossa	1	0.0001	1	0.0002
HP:0006593	6593	Anomalous rib insertion to vertebrae	1	0.0001	0	0
HP:0006595	6595	Scapulohumeral synostosis	1	0.0001	0	0
HP:0006596	6596	Restricted chest movement	1	0.0001	2	0.0005
HP:0006597	6597	Diaphragmatic paralysis	5	0.0006	12	0.0028
HP:0006598	6598	Irregular ossification at anterior rib ends	1	0.0001	0	0
HP:0006599	6599	Medial widening of clavicles	0	0	0	0
HP:0006600	6600	Progressive calcification of costochondral cartilage	1	0.0001	0	0
HP:0006603	6603	Flared, irregular rib ends	1	0.0001	2	0.0005
HP:0006606	6606	Irregular chondrocostal junctions	2	0.0002	0	0
HP:0006607	6607	Precocious costochondral ossification	1	0.0001	0	0
HP:0006608	6608	Midclavicular hypoplasia	1	0.0001	1	0.0002
HP:0006610	6610	Wide intermamillary distance	91	0.0109	66	0.0154
HP:0006611	6611	Decreased number of sternal ossification centers	1	0.0001	0	0
HP:0006615	6615	Absent in utero rib ossification	1	0.0001	0	0
HP:0006619	6619	Anterior rib punctate calcifications	1	0.0001	2	0.0005
HP:0006623	6623	Costochondral joint sclerosis	1	0.0001	0	0
HP:0006625	6625	Multifocal breast carcinoma	0	0	0	0
HP:0006628	6628	Absent sternal ossification	4	0.0005	1	0.0002
HP:0006631	6631	Hypoplastic distal segments of scapulae	1	0.0001	0	0
HP:0006633	6633	Glenoid fossa hypoplasia	3	0.0004	3	0.0007
HP:0006634	6634	Osteosclerosis of ribs	0	0	1	0.0002
HP:0006637	6637	Sternal punctate calcifications	1	0.0001	0	0
HP:0006638	6638	Midclavicular aplasia	1	0.0001	0	0
HP:0006640	6640	Multiple rib fractures	9	0.0011	3	0.0007
HP:0006641	6641	Prominent floating ribs	1	0.0001	1	0.0002
HP:0006642	6642	Large sternal ossification centers	1	0.0001	0	0
HP:0006643	6643	Fused sternal ossification centers	1	0.0001	0	0
HP:0006644	6644	Thoracic dysplasia	8	0.0010	0	0
HP:0006645	6645	Thin clavicles	4	0.0005	2	0.0005
HP:0006646	6646	Costal cartilage calcification	3	0.0004	0	0
HP:0006647	6647	Congenital microthorax	0	0	0	0
HP:0006649	6649	Costochondral pain	1	0.0001	0	0
HP:0006650	6650	Thickening of the lateral border of the scapula	1	0.0001	0	0
HP:0006655	6655	Rib segmentation abnormalities	2	0.0002	2	0.0005
HP:0006657	6657	Hypoplasia of first ribs	3	0.0004	0	0
HP:0006659	6659	Internally rotated shoulders	2	0.0002	0	0
HP:0006660	6660	Aplastic clavicle	5	0.0006	11	0.0026
HP:0006665	6665	Coat hanger sign of ribs	1	0.0001	4	0.0009
HP:0006668	6668	Twelfth rib hypoplasia	0	0	1	0.0002
HP:0006670	6670	Impaired myocardial contractility	4	0.0005	4	0.0009
HP:0006671	6671	Paroxysmal atrial tachycardia	2	0.0002	3	0.0007
HP:0006673	6673	Reduced systolic function	8	0.0010	1	0.0002
HP:0006677	6677	Prolonged QRS complex	9	0.0011	4	0.0009
HP:0006679	6679	Granulomatous coronary arteritis	0	0	0	0
HP:0006681	6681	Absent atrioventricular node	1	0.0001	0	0
HP:0006682	6682	Premature ventricular contraction	26	0.0031	5	0.0012
HP:0006683	6683	Abnormal ventricular filling	0	0	0	0
HP:0006684	6684	Ventricular preexcitation with multiple accessory pathways	1	0.0001	0	0
HP:0006685	6685	Endocardial fibrosis	6	0.0007	2	0.0005
HP:0006687	6687	Aortic tortuosity	8	0.0010	1	0.0002
HP:0006688	6688	Paroxysmal tachycardia	0	0	0	0
HP:0006689	6689	Bacterial endocarditis	1	0.0001	12	0.0028
HP:0006690	6690	Myocardial calcification	1	0.0001	2	0.0005
HP:0006691	6691	Pulmonic valve myxoma	1	0.0001	1	0.0002
